0,0,0,0
0,0,0,0
0,0,0,0
0.001,-0.000011,-0.000019,-0.166477
0.001,-0.000011,-0.000019,-0.166477
0.001,-0.000011,-0.000019,-0.166477
0.002,0.000001,0.000004,-0.004024
0.002,0.000001,0.000004,-0.004024
0.002,0.000001,0.000004,-0.004024
0.003,-0.000001,-0.000001,-0.003021
0.003,-0.000001,-0.000001,-0.003021
0.003,-0.000001,-0.000001,-0.003021
0.004,0,0,-0.002783
0.004,0,0,-0.002783
0.004,0,0,-0.002783
0.005,0,0,-0.002661
0.005,0,0,-0.002661
0.005,0,0,-0.002661
0.006,0,0,-0.002551
0.006,0,0,-0.002551
0.006,0,0,-0.002551
0.007,0,-0.000001,-0.002462
0.007,0,-0.000001,-0.002462
0.007,0,-0.000001,-0.002462
0.008,0,-0.000001,-0.002384
0.008,0,-0.000001,-0.002384
0.008,0,-0.000001,-0.002384
0.009,0,-0.000001,-0.002311
0.009,0,-0.000001,-0.002311
0.009,0,-0.000001,-0.002311
0.01,0,-0.000001,-0.002247
0.01,0,-0.000001,-0.002247
0.01,0,-0.000001,-0.002247
0.011,0,0,-0.002188
0.011,0,0,-0.002188
0.011,0,0,-0.002188
0.012,0,-0.000001,-0.002131
0.012,0,-0.000001,-0.002131
0.012,0,-0.000001,-0.002131
0.013,0,-0.000001,-0.002076
0.013,0,-0.000001,-0.002076
0.013,0,-0.000001,-0.002076
0.014,0,0,-0.002024
0.014,0,0,-0.002024
0.014,0,0,-0.002024
0.015,0,0,-0.001974
0.015,0,0,-0.001974
0.015,0,0,-0.001974
0.016,0,0,-0.001926
0.016,0,0,-0.001926
0.016,0,0,-0.001926
0.017,0,0,-0.001878
0.017,0,0,-0.001878
0.017,0,0,-0.001878
0.018,0,0,-0.001831
0.018,0,0,-0.001831
0.018,0,0,-0.001831
0.019,0,0,-0.001785
0.019,0,0,-0.001785
0.019,0,0,-0.001785
0.02,0,0,-0.001739
0.02,0,0,-0.001739
0.02,0,0,-0.001739
0.021,0,0,-0.001694
0.021,0,0,-0.001694
0.021,0,0,-0.001694
0.022,0,0,-0.001649
0.022,0,0,-0.001649
0.022,0,0,-0.001649
0.023,0,0,-0.001608
0.023,0,0,-0.001608
0.023,0,0,-0.001608
0.024,0,0,-0.001576
0.024,0,0,-0.001576
0.024,0,0,-0.001576
0.025,0,0,-0.001547
0.025,0,0,-0.001547
0.025,0,0,-0.001547
