,time,Z
2245,2.245,-0.448656
2246,2.246,-0.449534
2247,2.247,-0.450805
2248,2.248,-0.451923
2249,2.249,-0.452829
2250,2.25,-0.453933
2251,2.251,-0.45506
2252,2.252,-0.456343
2253,2.253,-0.45739
2254,2.254,-0.458371
2255,2.255,-0.459497
2256,2.256,-0.46055
2257,2.257,-0.461628
2258,2.258,-0.46264
2259,2.259,-0.463705
2260,2.26,-0.464666
2261,2.261,-0.465761
2262,2.262,-0.466845
2263,2.263,-0.467794
2264,2.264,-0.469079
2265,2.265,-0.469969
2266,2.266,-0.470962
2267,2.267,-0.47196
2268,2.268,-0.472667
2269,2.269,-0.473896
2270,2.27,-0.4751
2271,2.271,-0.476041
2272,2.272,-0.477017
2273,2.273,-0.477943
2274,2.274,-0.478844
2275,2.275,-0.479833
2276,2.276,-0.480914
2277,2.277,-0.481889
2278,2.278,-0.482869
2279,2.279,-0.483734
2280,2.28,-0.484533
2281,2.281,-0.485485
2282,2.282,-0.4864
2283,2.283,-0.487315
2284,2.284,-0.488179
2285,2.285,-0.489137
2286,2.286,-0.489906
2287,2.287,-0.490663
2288,2.288,-0.491616
2289,2.289,-0.492403
2290,2.29,-0.493273
2291,2.291,-0.493989
2292,2.292,-0.494841
2293,2.293,-0.495827
2294,2.294,-0.496577
2295,2.295,-0.497287
2296,2.296,-0.498161
2297,2.297,-0.498785
2298,2.298,-0.499596
2299,2.299,-0.500241
2300,2.3,-0.500851
2301,2.301,-0.501656
2302,2.302,-0.502476
2303,2.303,-0.503042
2304,2.304,-0.503499
2305,2.305,-0.504273
2306,2.306,-0.50496
2307,2.307,-0.505295
2308,2.308,-0.506016
2309,2.309,-0.506502
2310,2.31,-0.507035
2311,2.311,-0.507631
2312,2.312,-0.508072
2313,2.313,-0.508709
2314,2.314,-0.509062
2315,2.315,-0.509783
2316,2.316,-0.510219
2317,2.317,-0.510768
2318,2.318,-0.51121
2319,2.319,-0.511797
2320,2.32,-0.511939
2321,2.321,-0.51244
2322,2.322,-0.512839
2323,2.323,-0.513143
2324,2.324,-0.513516
2325,2.325,-0.51382
2326,2.326,-0.514186
2327,2.327,-0.514549
2328,2.328,-0.514876
2329,2.329,-0.515233
2330,2.33,-0.515532
2331,2.331,-0.515824
2332,2.332,-0.516096
2333,2.333,-0.516401
2334,2.334,-0.51668
2335,2.335,-0.516945
2336,2.336,-0.517165
2337,2.337,-0.517385
2338,2.338,-0.517597
2339,2.339,-0.51777
2340,2.34,-0.517981
2341,2.341,-0.518131
2342,2.342,-0.518327
2343,2.343,-0.518457
2344,2.344,-0.518593
2345,2.345,-0.518695
2346,2.346,-0.518819
2347,2.347,-0.518896
2348,2.348,-0.518967
2349,2.349,-0.519052
2350,2.35,-0.519112
2351,2.351,-0.519151
2352,2.352,-0.519198
2353,2.353,-0.51918
2354,2.354,-0.519147
2355,2.355,-0.519134
2356,2.356,-0.519117
2357,2.357,-0.519077
2358,2.358,-0.518879
2359,2.359,-0.518926
2360,2.36,-0.518977
2361,2.361,-0.518908
2362,2.362,-0.518806
2363,2.363,-0.518704
2364,2.364,-0.518555
2365,2.365,-0.518468
2366,2.366,-0.518319
2367,2.367,-0.518178
2368,2.368,-0.518011
2369,2.369,-0.517823
2370,2.37,-0.517603
2371,2.371,-0.517396
2372,2.372,-0.517162
2373,2.373,-0.516937
2374,2.374,-0.516704
2375,2.375,-0.516454
2376,2.376,-0.516193
2377,2.377,-0.515921
2378,2.378,-0.515617
2379,2.379,-0.515315
2380,2.38,-0.514975
2381,2.381,-0.514619
2382,2.382,-0.514284
2383,2.383,-0.513934
2384,2.384,-0.513526
2385,2.385,-0.513132
2386,2.386,-0.512632
2387,2.387,-0.512259
2388,2.388,-0.511704
2389,2.389,-0.511303
2390,2.39,-0.510849
2391,2.391,-0.510364
2392,2.392,-0.509861
2393,2.393,-0.509317
2394,2.394,-0.508759
2395,2.395,-0.508215
2396,2.396,-0.507756
2397,2.397,-0.507194
2398,2.398,-0.506696
2399,2.399,-0.506144
2400,2.4,-0.505576
2401,2.401,-0.504988
2402,2.402,-0.504381
2403,2.403,-0.503815
2404,2.404,-0.503192
2405,2.405,-0.502534
2406,2.406,-0.50192
2407,2.407,-0.501268
2408,2.408,-0.500572
2409,2.409,-0.499941
2410,2.41,-0.499226
2411,2.411,-0.498531
2412,2.412,-0.497803
2413,2.413,-0.497102
2414,2.414,-0.496354
2415,2.415,-0.495635
2416,2.416,-0.494851
2417,2.417,-0.494048
2418,2.418,-0.49328
2419,2.419,-0.492508
2420,2.42,-0.491666
2421,2.421,-0.490792
2422,2.422,-0.490051
2423,2.423,-0.489124
2424,2.424,-0.488284
2425,2.425,-0.487392
2426,2.426,-0.486506
2427,2.427,-0.485586
2428,2.428,-0.484675
2429,2.429,-0.483749
2430,2.43,-0.482798
2431,2.431,-0.481831
2432,2.432,-0.480849
2433,2.433,-0.479889
2434,2.434,-0.478881
2435,2.435,-0.477884
2436,2.436,-0.476855
2437,2.437,-0.475824
2438,2.438,-0.474787
2439,2.439,-0.473712
2440,2.44,-0.472659
2441,2.441,-0.471573
2442,2.442,-0.470477
2443,2.443,-0.469381
2444,2.444,-0.468253
2445,2.445,-0.467123
2446,2.446,-0.465979
2447,2.447,-0.464827
2448,2.448,-0.463657
2449,2.449,-0.462476
2450,2.45,-0.461277
2451,2.451,-0.460088
2452,2.452,-0.458862
2453,2.453,-0.457633
2454,2.454,-0.456398
2455,2.455,-0.455142
2456,2.456,-0.453874
2457,2.457,-0.452602
2458,2.458,-0.451301
2459,2.459,-0.450005
2460,2.46,-0.448686
2461,2.461,-0.447367
2462,2.462,-0.446014
2463,2.463,-0.444669
2464,2.464,-0.443302
2465,2.465,-0.441933
2466,2.466,-0.440537
2467,2.467,-0.439142
2468,2.468,-0.437721
2469,2.469,-0.436304
2470,2.47,-0.434857
2471,2.471,-0.433409
2472,2.472,-0.431953
2473,2.473,-0.430479
2474,2.474,-0.428999
2475,2.475,-0.427499
2476,2.476,-0.425988
2477,2.477,-0.424466
2478,2.478,-0.42293
2479,2.479,-0.421391
